iter	Passed	Remaining
0	140	140176
1	140	70294
2	141	46987
3	141	35327
4	142	28334
5	142	23676
6	143	20349
7	144	17857
8	144	15915
9	145	14359
10	145	13086
11	146	12029
12	146	11131
13	147	10361
14	147	9694
15	148	9111
16	148	8596
17	149	8140
18	150	7747
19	150	7396
20	151	7074
21	152	6777
22	153	6507
23	153	6260
24	154	6030
25	155	5817
26	155	5620
27	156	5436
28	157	5262
29	157	5098
30	158	4946
31	158	4803
32	159	4669
33	159	4542
34	160	4422
35	160	4309
36	161	4201
37	161	4099
38	162	4002
39	162	3909
40	163	3822
41	163	3739
42	164	3660
43	165	3585
44	165	3512
45	166	3443
46	166	3377
47	167	3314
48	167	3254
49	168	3196
50	168	3140
51	169	3085
52	169	3033
53	170	2983
54	170	2934
55	171	2887
56	171	2842
57	172	2799
58	172	2757
59	173	2716
60	173	2676
61	174	2638
62	174	2602
63	175	2566
64	176	2531
65	176	2497
66	177	2465
67	177	2433
68	178	2402
69	178	2372
70	179	2344
71	179	2315
72	180	2288
73	181	2266
74	182	2244
75	182	2219
76	183	2194
77	183	2169
78	184	2145
79	184	2122
80	185	2099
81	185	2078
82	185	2054
83	186	2033
84	187	2013
85	187	1993
86	188	1974
87	188	1954
88	189	1935
89	189	1917
90	190	1899
91	190	1881
92	191	1863
93	191	1846
94	192	1830
95	192	1814
96	193	1798
97	193	1782
98	194	1767
99	194	1752
100	195	1737
101	195	1723
102	196	1709
103	196	1696
104	197	1682
105	197	1668
106	198	1655
107	198	1642
108	199	1631
109	200	1618
110	200	1606
111	201	1594
112	201	1582
113	202	1570
114	202	1559
115	203	1548
116	203	1536
117	204	1526
118	204	1515
119	205	1504
120	205	1494
121	206	1483
122	206	1473
123	207	1463
124	207	1454
125	208	1444
126	208	1434
127	209	1425
128	209	1416
129	210	1407
130	210	1398
131	211	1389
132	211	1381
133	212	1372
134	212	1364
135	213	1355
136	213	1347
137	214	1339
138	215	1331
139	215	1323
140	216	1316
141	216	1307
142	216	1299
143	217	1292
144	217	1284
145	218	1277
146	218	1270
147	219	1263
148	220	1256
149	220	1249
150	221	1242
151	221	1236
152	222	1229
153	222	1222
154	223	1216
155	223	1209
156	224	1203
157	224	1197
158	225	1191
159	225	1185
160	226	1178
161	226	1172
162	227	1166
163	227	1160
164	228	1154
165	228	1148
166	229	1143
167	229	1137
168	230	1132
169	230	1126
170	231	1121
171	231	1115
172	232	1110
173	232	1105
174	233	1099
175	233	1094
176	234	1089
177	234	1084
178	235	1079
179	236	1075
180	236	1070
181	237	1065
182	237	1060
183	238	1055
184	238	1050
185	239	1046
186	239	1042
187	240	1037
188	240	1033
189	241	1028
190	241	1024
191	242	1019
192	242	1015
193	243	1011
194	243	1006
195	244	1002
196	244	998
197	245	994
198	245	989
199	246	985
200	246	981
201	247	977
202	247	973
203	248	969
204	248	965
205	249	961
206	249	957
207	250	953
208	250	949
209	251	946
210	252	942
211	252	938
212	253	935
213	253	931
214	254	928
215	254	924
216	255	920
217	255	917
218	256	913
219	256	910
220	257	906
221	257	903
222	258	899
223	258	896
224	259	892
225	259	889
226	260	886
227	260	882
228	261	879
229	261	876
230	262	872
231	262	869
232	263	866
233	263	863
234	264	860
235	264	857
236	265	854
237	265	850
238	266	847
239	266	844
240	267	841
241	267	838
242	268	835
243	268	832
244	269	829
245	269	826
246	270	823
247	270	820
248	271	817
249	271	815
250	272	812
251	272	809
